"Report Group Date","VehicleReg","DriverID","VehicleStatus","MOBILESPEED","MOBILEODO","Location","SkillSet","MsgTypeId","LocationTolerance","STATUS1"
"4/4/2025 3:14:00 PM","JB 61 HF GP","","Driving","87","57.866","Long : 28.16659. Lat : -25.88645","","1","",""
"4/4/2025 3:16:00 PM","JB 61 HF GP","","Driving","67","60.646","Long : 28.17265. Lat : -25.86195","","1","",""
"4/4/2025 3:18:00 PM","JB 61 HF GP","","Driving","8","61.173","Long : 28.17388. Lat : -25.85703","","1","",""
"4/4/2025 3:20:00 PM","JB 61 HF GP","","Driving","12","61.486","Long : 28.17492. Lat : -25.85433","","1","",""
"4/4/2025 3:22:00 PM","JB 61 HF GP","","Driving","28","61.881","Long : 28.17714. Lat : -25.851","","1","",""
"4/4/2025 3:24:00 PM","JB 61 HF GP","","Driving","45","63.735","Long : 28.17959. Lat : -25.83865","","1","",""
"4/4/2025 3:26:00 PM","JB 61 HF GP","","Driving","0","64.874","Long : 28.16842. Lat : -25.84046","","1","",""
"4/4/2025 3:28:00 PM","JB 61 HF GP","","Driving","0","65.010","Long : 28.1673. Lat : -25.84101","","1","",""
"4/4/2025 3:29:38 PM","JB 61 HF GP","","Ignition off","0","65.010","Long : 28.1673. Lat : -25.84101","","1","",""
"4/4/2025 3:33:06 PM","JB 61 HF GP","","Start up","0","65.010","Long : 28.1673. Lat : -25.84101","","1","",""
"4/4/2025 3:34:00 PM","JB 61 HF GP","","Driving","0","65.390","Long : 28.16347. Lat : -25.84182","","1","",""
"4/4/2025 3:36:00 PM","JB 61 HF GP","","Driving","41","66.375","Long : 28.15385. Lat : -25.84121","","1","",""
"4/4/2025 3:38:00 PM","JB 61 HF GP","","Driving","22","67.252","Long : 28.1514. Lat : -25.84381","","1","",""
"4/4/2025 3:40:00 PM","JB 61 HF GP","","Driving","34","68.083","Long : 28.14429. Lat : -25.84408","","1","",""
"4/4/2025 3:42:00 PM","JB 61 HF GP","","Speed Violation","25","68.820","Long : 28.13912. Lat : -25.84189","","1","",""
"4/4/2025 3:44:00 PM","JB 61 HF GP","","Driving","0","69.166","Long : 28.13681. Lat : -25.8432","","1","",""
"4/4/2025 3:46:00 PM","JB 61 HF GP","","Driving","0","69.166","Long : 28.13681. Lat : -25.8432","","1","",""
"4/4/2025 3:46:38 PM","JB 61 HF GP","","Ignition off","0","69.166","Long : 28.13681. Lat : -25.8432","","1","",""
"4/5/2025 4:03:11 AM","JB 61 HF GP","","Health Check; (Ignition off)","0","69.166","Long : 28.13662. Lat : -25.84311","","1","",""
"4/6/2025 4:14:37 AM","JB 61 HF GP","","Health Check; (Ignition off)","0","69.166","Long : 28.13666. Lat : -25.84322","","1","",""
"4/6/2025 7:31:06 AM","JB 61 HF GP","","Start up","0","69.166","Long : 28.13664. Lat : -25.84312","","1","",""
"4/6/2025 7:32:00 AM","JB 61 HF GP","","Driving","0","69.213","Long : 28.13688. Lat : -25.84322","","1","",""
"4/6/2025 7:34:00 AM","JB 61 HF GP","","Speed Violation","23","69.870","Long : 28.14194. Lat : -25.84215","","1","",""
"4/6/2025 7:36:00 AM","JB 61 HF GP","","Driving","49","70.847","Long : 28.14274. Lat : -25.84862","","1","",""
"4/6/2025 7:38:00 AM","JB 61 HF GP","","Driving","18","71.943","Long : 28.1449. Lat : -25.85719","","1","",""
"4/6/2025 7:40:00 AM","JB 61 HF GP","","Driving","36","73.183","Long : 28.15573. Lat : -25.85992","","1","",""
"4/6/2025 7:42:00 AM","JB 61 HF GP","","Driving","16","74.390","Long : 28.16646. Lat : -25.86228","","1","",""
"4/6/2025 7:44:00 AM","JB 61 HF GP","","Driving","13","75.570","Long : 28.17745. Lat : -25.85962","","1","",""
"4/6/2025 7:46:00 AM","JB 61 HF GP","","Driving","0","75.728","Long : 28.17673. Lat : -25.86013","","1","",""
"4/6/2025 7:48:00 AM","JB 61 HF GP","","Driving","0","75.728","Long : 28.17673. Lat : -25.86013","","1","",""
"4/6/2025 7:48:03 AM","JB 61 HF GP","","Ignition off","0","75.728","Long : 28.17673. Lat : -25.86013","","1","",""
"4/6/2025 9:03:47 AM","JB 61 HF GP","","Start up","0","75.728","Long : 28.17673. Lat : -25.86013","","1","",""
"4/6/2025 9:04:00 AM","JB 61 HF GP","","Driving","16","75.787","Long : 28.17629. Lat : -25.86039","","1","",""
